Health Region,Agriculture...Forestry.NH3,Agriculture...Forestry.PM10.FIL,Agriculture...Forestry.PM10.PRI,Bulk.Terminals...Plants.NH3,Bulk.Terminals...Plants.PM25.PRI,Bulk.Terminals...Plants.PM.PRI,Coal.PM25.PRI,Coal.PM.CON,Coal.PM.PRI,Coal.SO2,Coal.VOC,Commercial.Institutional.Coal.CO,Commercial.Institutional.Coal.NH3,Commercial.Institutional.Coal.NOX,Commercial.Institutional.Coal.PM10.FIL,Commercial.Institutional.Coal.PM10.PRI,Commercial.Institutional.Coal.PM25.FIL,Commercial.Institutional.Coal.PM25.PRI,Commercial.Institutional.Coal.SO2,Commercial.Institutional.Coal.VOC,Commercial.Institutional.Gas.CO,Commercial.Institutional.Gas.NH3,Commercial.Institutional.Gas.NOX
1,17.49826926,7.4582787,348.8179577,11.22998439,22.88662295,8266.668192,644.4462992,19.06781495,9.228262559,17.11014746,1201.050737,660.8392827,0.655661001,3481.675838,109.7095399,107.3093325,522.2882265,47.7703966,7302.69474,282.1034453,303.5290233,99.56592186,120.9915
2,2110.82,316.62,316.62,9787.501742,73.27827629,140.3031126,6.136072627,0.658780803,1.148160829,0.489380025,43.45129957,0.023527886,218.3531822,1.150946896,278.8341216,5.17231,6.288413033,4.96231,1.112200967,77.60932273,14.49179169,4.871446196,0.779431391
3,12.33,53.46,5.498,771.2011762,54.69858839,133.3241433,0,0,0,0,0,28,29.94117681,0,0,155.4661151,0.832545672,245.5262799,3.726517856,1.400407391,3.573601304,2.170543587,1.220407391
4,0.940977777,280.2458476,0.314869834,0.009,0.198516129,0.17,8.052342945,6.555800806,7.72744374,1.161642934,0.3005,11.798,26.8009,51.9803,6.0943,283.2663,27.16242667,49.62939527,39.0254905,30.25696851,8.5145,0.0536,487.4219
5,929.39,139.4,139.4,136.8244094,17.41401574,30.35014171,0.245146648,0.026319425,0.045870999,0.019551573,1.7359541,0.000939979,10.78268115,0.045982307,12.83414421,0.01,0.27879755,0.01,0.030263865,0.056304865,0.686127932,0.194622648,0.031139624
6,11.16213588,3.74,3.74,14.93,444.58,18.64,0.10323,0.36218925,0.42,3.86,3.851200006,0.616192001,15.40480002,0.831859201,1.833171203,0.639299201,1.640611203,1.001312002,0.475,32.81222405,0.2618816,382.53,1221.295916
7,255.0150686,4.09,4.09,54.03,1608.2,67.44,0.10323,4.249,2.232,19.792,16.13320858,2.499713372,64.09283431,3.392899353,7.546647283,2.607505985,6.761253914,4.15374793,0.2,133.8097371,1.102378183,1138.98,3091.132896
8,14.635,14.635,17.91,8428.371485,1.13,13.86,0.41,122.49,0.147544192,0.44,0.147544192,0.36,0.008074335,0.51,4.68,13.41,2.14,61.86,9.67,0.024034441,6.86,0.074252116,186.96
9,284.33,284.33,29.82,1277.99544,38.06523904,5487.034357,0.15,0.006123938,1.85,1.38,1.48,0.59,0.69,0.1,7.22,0.050483141,165.118,1.711,1.748728,3.846966878,1.112295,3.210533878,2.088238878
10,254.0976047,609.67,609.67,9.076720222,3.941124667,1.31,19128.27971,808.607683,2932.077349,341.9257241,2465.39539,2123.469666,1190.246435,17.63,54397.37998,178.457482,0.46,0.020027273,3.98,4.21,0.22,0.45,0.23
11,92.62430008,0.105649997,8.055738768,2.561113469,0.870344996,2341.499969,11.2869926,1.36409998,260.3610006,0.621715259,218.0650625,0.704278901,301.1274663,1.097031022,1.834094253,0.967031022,1.704736904,0.733195715,6.166196147,2.808977358,16.92154915,15.58570426,0.385792682
12,0.948347151,186.3653684,0.217021286,0.009,0.198516129,0.17,7.821169729,2.897321364,4.943391073,2.046069713,0.0595,6.2884,27.3843,92.2417,15.2357,573.5554,55.85408667,68.66927085,41.59158401,35.82518414,8.265,0.0536,1254.8694
13,17.3,0.155525001,0.746470602,269.0652127,0.870344996,13442.9976,3.379387408,1.603199959,67.08479894,0.508558727,45.88635832,0.178822339,68.52735523,0.368957151,0.581923951,0.328957151,0.549079031,0.210890448,1.996139983,1.155356119,3.594639538,0.652225051,0.097956008
14,20.31,21.28040176,106.6,1.646,0,0.1251,0.09,0.638922752,0.150422752,5.4082,0.856310566,0.672921561,0.697,0.180941183,0.205019621,0.024078433,0.0200025,0.09,0.01,0.009294118,0.01,0.000705882,524.1032
15,140.1299214,0.293799993,53.95576267,144.0818604,0.870344996,2411.488,27.10197685,1.36409998,625.1707663,1.492843413,481.035043,1.691092673,618.8548168,3.620288549,5.682925219,3.30219657,5.364224375,2.061022782,19.67510573,28.39948234,32.31151551,18.07691401,0.926353433
16,80.6925,0.484155,177.5235,3.27,0.129994468,0.039,3.862780169,106.4844413,0.811432268,216.248561,2.94855,5.178762,2.94855,5.178762,2.230212,248.2133285,0.100897444,29164.12603,2534.416615,55.4756836,27.08075093,55.44665028,2146.627716
17,90.44,2.112170817,7.07,20.68201599,40.74875799,24.85567092,40.35929904,98.34192698,279.171635,10.602348,332.543375,0.65,1.79288155,0.35,1.494690513,1.068517885,1.98794025,18.27278563,1609.237696,2.621463261,235.8163451,5.356983711,3.991926459
18,611.3933961,274,274,1002.846653,993.1236241,273.0885033,0,0,0,0,21.43,0,0,4839.9229,36.7565,5703.8164,7.428309259,93.91440274,86.29788517,2.106793484,0.304131217,71.6803,54.68651
