"","order","STUSPS","orderReg","GEOID","Agriculture...Forestry.NH3","Agriculture...Forestry.PM10.FIL","Agriculture...Forestry.PM10.PRI","Bulk.Terminals...Plants.NH3","Bulk.Terminals...Plants.PM25.PRI","Bulk.Terminals...Plants.PM.PRI","Coal.PM25.PRI","Coal.PM.CON","Coal.PM.PRI","Coal.SO2","Coal.VOC","Commercial.Institutional.Coal.CO","Commercial.Institutional.Coal.NH3","Commercial.Institutional.Coal.NOX","Commercial.Institutional.Coal.PM10.FIL","Commercial.Institutional.Coal.PM10.PRI","Commercial.Institutional.Coal.PM25.FIL","Commercial.Institutional.Coal.PM25.PRI","Commercial.Institutional.Coal.SO2","Commercial.Institutional.Coal.VOC","Commercial.Institutional.Gas.CO","Commercial.Institutional.Gas.NH3","Commercial.Institutional.Gas.NOX"
"1",1,"PR",1,72001,17.49826926,7.4582787,348.8179577,11.22998439,22.88662295,8266.668192,644.4462992,19.06781495,9.228262559,17.11014746,1201.050737,660.8392827,0.655661001,3481.675838,109.7095399,107.3093325,522.2882265,47.7703966,7302.69474,282.1034453,303.5290233,99.56592186,120.9915
"2",2,"NE",285,31039,2014.18,302.12,302.12,21.36605049,2.719315517,4.739378473,0.144943112,0.015561377,0.027121257,0.01155988,1.02638397,0.000555763,4.66064026,0.027187068,5.548381262,0.01,0.028851583,0.00596451,0.01789353,0.033290288,0.305160969,0.115070765,0.018411322
"3",3,"WA",320,53069,0.136993794,1.83,3.4627138125,0.11638677,0.004939563,0.012435133,1.481519566,1.218212324,2.613658361,631.1755,88.089,76.599,49.7895,0.364579968,0.01388876,0.434023771,0.000857197,0.002256924,0.001866302,0.001399727,7,0.629999995,0.002604143
"4",4,"NM",263,35011,0.8,6.1467825865,0.749995652,0.013363565,0.156090819,0.000273844,0.051934137,9.11e-05,0.758263283,0.004423202,0.902694384,0.001782821,0.004694011,0.000970396,0.003881586,0.002911189,1.5543153,2.3116,0.049648191,0.02997258,0.004795613,0.11989032,0.006474077
"5",5,"NE",2,31109,2110.82,316.62,316.62,9787.501742,73.27827629,140.3031126,6.136072627,0.658780803,1.148160829,0.489380025,43.45129957,0.023527886,218.3531822,1.150946896,278.8341216,5.17231,6.288413033,4.96231,1.112200967,77.60932273,14.49179169,4.871446196,0.779431391
"6",6,"NE",292,31129,1855.65,278.34,278.34,0.249096659,0.031703211,0.055254168,0.07782128,0.008355045,0.014561651,0.006206605,0.551074922,0.000298394,2.502340297,0.014596985,2.978976544,0.005883479,0.015490678,0.0032024,0.009607199,0.017873859,0.16384371,0.061782544,0.009885207
"7",7,"SD",280,46099,9.08,0.03,5.93,2.419528791,4.005513995,2.348897018,28.28049548,66.2446421,0,0,0,0,0,0,0,0,1.66,0,495.82,610.9635639,1.558603328,140.0073241,3.103173684
"8",8,"TX",143,48327,242.59,25.89,25.89,0.03,0.93,0.001083,350.27,0.45,0.28,0.001687,0.34,0.002499737,0.005894474,0.001479539,0.004874276,0.003394737,0.002065,0.01,0.001409564,0.03,0.01,0.008319804,0.01
"9",9,"CA",383,6091,30.01704325,14.94,14.94,0.00140484,0.067447917,0.072916667,0.128787192,0.054892901,82.10108056,0.942680018,0.002639082,8,0.245,4,0.07,0.8,0.04,0.3,56.57,2.51,0.79372248,0.004630048,0.944907715
"10",10,"KY",202,21053,0.96,27.79,1.2347784,0.126529299,0.975812201,1.064522401,1.699522665,0.009913882,2.023241268,0.003995902,0.010520855,0.002174984,0.008699937,0.006524953,2.08,0.162425565,0.012139448,0.11127827,0.023303347,0.588392421,0.033760001,0.071661132,0.024960375
